plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
2HI4KIM,D,TOO HIGH FOR MY WIFE TO GET IN. IT IS A LIFT  JEEP,"TOO HIGH, ANI DOES SHOW A JEEP",N,Y,Approved
619LNAV,2,"619 MEANS SAN DIEGO, L FOR LINCOLN, NAV NAVIGATOR","619 AREA CODE, SAN DIEGO",N,Y,Approved
66RDPNY,2,1966 RED PONY,"RED=GANG COLOR, HAS 66 FORD CV",N,Y,Approved
8BBBBB8,2,MY LUCKY NUMBER,88 (HATE SYMBOL),N,Y,Approved
8MELODY,1,ITS MY NAME,"ate Melody, it is her name",N,Y,Approved
911 WC2,4,BUSINESS NAME,"looks like 9/11 WTC2, one of the buildings that was hit and collapsed",Y,N,invalid characters
RIPBLK&,2,REST IN PEACE BLACK STAR,"BLACKSTAR, THINK THIS A REFERENCE TO DAVID BOWIE PASSING AWAY, BLACKSTAR IS THE NAME OF HIS FINAL ALBUM. OK?",Y,N,invalid characters
GTFO1O1,3,GOOD TIMES FOR OUR 101,GTFO=GET THE FUCK OUT (OR ON),N,Y,Approved
KOM,1,INITIALS (KRIS OWEN MOORE),CUM? CUSTOMER'S INITIALS,N,Y,Approved
BUDS,D,SERVICE DOGS NAME,bud=marijuana,N,Y,Approved
DEFVET,2,DON'T HEAR WELL,DEAF VETERAN (VET PLATE),N,Y,Approved
911 WC,4,BUSINESS NAME,"same customer ordered the above Legacy plate ""911 WC2"" this is Memorial plate, ok?",Y,N,invalid characters
911 WC1,4,COMPANY NAME,"same customer ordered the above Legacy plate ""911 WC2"" this is Memorial plate, ok?",Y,N,invalid characters
BKOFFBZ,3,BKOFFBZ,back off b's (bitches),N,Y,Approved
BLURPLE,2,COLOR OF THE CAR,BLUE+PURPLE? PULLED FOR BLUE=GANG COLOR,Y,N,contains the restricted letter combinationURP
EFN2187,3,STAR WARS CHARACTER,THE CHARACTER FINN'S NAME IS 'FN-2187'  THIS LOOKS LIKE EFFIN',N,Y,Approved
GO PAZZO,2,ITALIAN NAME FOR GO CRAZY,GO CRAZY OR INSANE (ITALIAN),Y,N,invalid length
MASECAS,1,JUAN JOSE NICKNAME,"masochist=Someone who obtains sexual gratification from being physically or emotionally abused, humiliated or mistreated",N,Y,Approved
MONKEEZ,1 OR 2,NICKNAME,MONKEY=PUSSY OR RACIAL SLUR,N,Y,Approved
PAZZZO 1,2,ITALIAN NAME FOR CRAZY,CRAZY OR INSANE IN ITALIAN,Y,N,invalid length
RICEARU,2,"MY CAR IS A SUBARU, SO INSTEAD OF 'SUBA' AT THE BEGINNING ITS RICE. RICE IS A WAY TO DESCRIBE A CAR BASED ON HOW IT LOOKS.",rice+Subaru… racist?,N,Y,Approved
STEEZR,D,ONE WHO STROLLS WITH EASE,URBAN THESAURUS SAID IT WAS MARIJUANA,N,Y,Approved
BLUNT4C,D OR 2,MY LAST NAME AND FORCE,"BLUNT=WEED ALSO BLUNT FORCE=BLUNT FORCE TRAUMA, BEING HIT HARD BY AN OBJECT. NAME IS CHARLEY BLUNT",N,Y,Approved
BUSAETR,1,HYABUSA EATER,EATER (M/C),N,Y,Approved
OVTHUGS,2,ORANGEVALE THUGS,GANG,N,Y,Approved
THUGNMD,2,THE UGLY NOMAD (NOMAD IS THE MODEL OF MOTORCYCLE),THUGGIN MAD?,N,Y,Approved
8LPL88,2,NO MICRO,88-HITLER,N,Y,Approved
DADE213,2,MY LAST NAME. THE MONTH AND YEAR I FOUND MY FATHER,213 CA AREA CODE,N,Y,Approved
JA69VA,1,MY NAME. YEAR I WAS BORN AND MY LAST NAME,COULDN'T VERIFY '69 VEHICLE,N,Y,Approved
LS18YOU,2,MEANS I BEAT YOU TO THE PUNCH,18-HITLER,N,Y,Approved
9TACO9,1,NO MICRO,TACO,N,Y,Approved
BMRR69S,1,NO MICRO,COULDN'T VERIFY '69 VEHICLE,N,Y,Approved
VDUCT13,2,TRUCK NUMBER,13-GANG,N,Y,Approved
CJD69,1,NO MICRO,NO 69 VEHICLE ON RECORD,N,Y,Approved
NPLSKNG,1,NO MICRO,NIPPLES KING?,N,Y,Approved
13JAY7,B,NO MICRO,NO 2013 CAR ON RECORD,N,Y,Approved
RAMS31O,7,NO MICRO,310 BELLFLOWER AREA CODE,N,Y,Approved
FG8RS,3,FLORIDA GATORS,F-FLORIDA OR FUCK?,N,Y,Approved
H8DCITY,2,HATE THE CITY,HATE?,N,Y,Approved
JZCK831,7,JZ IS THE PARTNER OF CHARLES KANE AND WE STARTED DATING ON 8-31. THE MEANING IS SENTIMENTAL TO THE RELATIONSHIP WITH MY PARTNER.,831 SANTA CRUZ AREA CODE,N,Y,Approved
MOVS M4,7,MOVS IS THE FIRST 4 LETTERS OF MY LAST NAME. M4 IS STANDS FOR THE BMW,M4 CAN ME ASSUALT RIFLE OR A BMW. HE DOES OWN A BMW,Y,N,invalid characters
MXBLKMC,2,MEXICO BLACK MAC,MEXICAN BLACK RACIAL?,N,Y,Approved
1FHRITP,1,INTIALS OF ALL MY LOVED ONES.,FHRITP-FUCK HER RIGHT IN THE PUSSY,N,Y,Approved
69CORVT,1,ITS GOING ON A 1969 CORVETTE,NO 69 CAR ON RECORD,N,Y,Approved
GNSQAD,2,GOOD SQUAD0HOCKEY,"GOOGLE AND URBAN SAY ""GROUP OF CRIMINALS""",N,Y,Approved
MCLMF,3,MOTOR CYCLE LOVERS MY FRIENDS,MF-MOTHER FUCKER,N,Y,Approved
MR9R831,7,IT STANDS FOR MY TEAN SF 49ERS AND MY LOCAL AREA CODE,831 SOLEDAD AREA CODE,N,Y,Approved
A996POS,3,PORSCHE 996 IS THE MODEL OF THE CAR,996 PORSCHE. CUSTOMER HAS A PORSCHE. ABBREV WITH POS OR MEANING PIECE OF SHIT.,N,Y,Approved
DFTACOS,1,CITY I'M FROM TACOS,TACOS,N,Y,Approved
FYR13FC,2,FIRE 13 FIRE CAPTAIN,13-GANG,N,Y,Approved
OGPEREZ,7,LAST NAME,OG,N,Y,Approved
RTCHL14,2,NO MICRO,14-HITLER,N,Y,Approved
4BGTUNA,1,NO MICRO,TUNA,N,Y,Approved
415TYME,2,WORKING SAN FRANCISCO,CUSTOMERS AREA CODE,N,Y,Approved
LJAY69,1,NICKNAME AND BIRTH YEAR,NO 1969 VERIFIED,N,Y,Approved
CMZONE,1,MY NICKNAME,CUM ZONE? CUSTOMER'S NAME IS CHRISTINE MALZONE,N,Y,Approved
18HANDS,2,THE HEIGHT OF MY HORSE,18-HITLER,N,Y,Approved
JANET88,2,LUCKY NUMBER,88-HITLER,N,Y,Approved
BDAZSRT,3,INITIALS,BADASS,N,Y,Approved
BLAZEUS,D,BLAZERS IS THE NAME OF MY CHEVY BLAZER,BLAZE-WEED?,N,Y,Approved
EHT88,2,NO MICRO,88-HITLER,N,Y,Approved
GMONEY9,7,COMPANY NAME,G. CUSTOMERS NAME IS GISELLE,N,Y,Approved
HIPPE69,1,I WENT TO WOODSTOCK AND AM A HIPPIE,69,N,Y,Approved
IEMPG88,2,MY MANE,88-HITLER,N,Y,Approved
NIJJR13,7,LAST NAME,13-GANG. LAST NAME IS SINGH.,N,Y,Approved
RH415K,7,INITIALS,CA AREA CODE,N,Y,Approved
UCLATTY,1,UCLA ATTORNEY,UCLA TITTIE?,N,Y,Approved
WPOD42O,D,WERE PURSUING OUR DESTINY 42O DAYS A YEAR (INSIDE JOKE),420-WEED,N,Y,Approved
13TC R8O,7,13 SCION TC RELEASE 8.0,13-GANG,Y,N,invalid length
DOCGLOC,2,MY WIFE IS A PHYSICIAN-DR GLOCKNER,GLOCK. LAST NAME IS GLOCKNER,N,Y,Approved
ZROGVN,3,CAREFREE. NO CARES,ZERO (FUCKS) GIVEN,N,Y,Approved
AV6TACO,1,,TACO,N,Y,Approved
BUBUCAR,2,"IT'S WHAT MY CHILD CALLED THE CAR, BECAUSE IT WAS NOISY (MADE A ""BU-BU"" SOUND)",BOO BOO CAR AS IN POOP OR ANOTHER WORD FOR SHITTY CAR,N,Y,Approved
DEEZNT5,2,BAND,DEEZ NUTS,N,Y,Approved
H82DB8,2,,HATE TO DEBATE,N,Y,Approved
MLK MOVR,1,MILK MOVER,MILK CAN  BE USED AS A SEXUAL TERM OR HE NCOULD JUST BE MOVING OR SHIPPING COWS,Y,N,invalid length
RT18M52,2,RETIRED OCSD 18 CALL SIGN MIKE 52,18 HITLER REFERENCE,N,Y,Approved
RU13OF3,2,POWER OF THREE IS A WRITING PRINCIPLE THAT SUGGESTS THAT THINGS THAT COME IN THREES,13 GANG REFERENCE,N,Y,Approved
WDDR209,2,CLAMPERS WIFE,209 AREA CODE,N,Y,Approved
WELUVPS,1,WE LOVE PALM SPRINGS,LOOKS LIKE WE LOVE PUSSY,N,Y,Approved
12FIA13,2,,13 GANG REFERENCE,N,Y,Approved
515O 4LF,2,,CRAZY FOR LIFE,Y,N,invalid length
#SAMBLU,2,MY KIDS,BLU OR HANDSOME BLUE,Y,N,invalid characters
LVMY45,2,LOVE MY 45,45 IS A WEAPON A GUN,N,Y,Approved
OBOYTOY,1,,BOY TOY SEXUAL REFERENCE,N,Y,Approved
5TYSHDZ,1,,FIFTY SHADEZ MOVIE,N,Y,Approved
ELARY13,2,MY DAUGHTERS MIDDLE NAME AND YEAR OF BIRTH,13-GANG,N,Y,Approved
MRTNZ13,2,LAST NAME,13-GANG,N,Y,Approved
FKNMASH,3,NO MICRO,FUCKIN,N,Y,Approved
88212,2,NO MICRO,88-HITLER,N,Y,Approved
31ORIDE,2,LA AREA 310 RIDE MOTORCYLE PLATE,CA AREA CODE,N,Y,Approved
CALI8O5,2,CALIFORNIA 8O'S,CA AREA CODE,N,Y,Approved
CMILANP,2,NO MICRO,SEE MILAN PEE?,N,Y,Approved
GNZUP31,2,MILITARY MOS,GUNS UP,N,Y,Approved
KMFDM69,1,ROCK AND ROLL BAND. SONG FROM BAND.,69. DMFDM IS A BAND,N,Y,Approved
K13J7H7,2,MY NAME,13-GANG,N,Y,Approved
THUGLIF,2,TITLE OF TUPAC SHAKUR'S ALBUM,THUG,N,Y,Approved
213PRID,2,LOS ANGELES AREA CODE,CA AREA CODE,N,Y,Approved
H8CEMNT,2,JEEP LIKES TRAILS AND DIRT,HATE,N,Y,Approved
GLOKLDY,2,NICKNAME TO LOVED ONE WHO PASSED AWAY,GLOCK. GUN,N,Y,Approved
FASK8FK,3,FAST SKATE FREEK,TRYING TO SAY FAST AS FUCK?,N,Y,Approved
FWKH8RS,3,FRONT WHEEL CATERERS,FUCK HATERS,N,Y,Approved
SOPHI69,1,"THE NAME OF MY CAR, PLUS THE YEAR I WAS BORN",69,N,Y,Approved
69NSECT,1,1969 VOLKSWAGEN BEETLE (BUG). THAT’S WHAT NSECT IS FOR,COULDN'T VERIFY 69 VEHICLE,N,Y,Approved
ZFKGVN,3,UNIT MOTTO,ZERO FUCKS GIVEN,N,Y,Approved
BB88,2,NO MICRO,88-HITLER,N,Y,Approved
1NDAPNK,1,I ONE RIM OF MY BIKE IN PINK,1 IN THE PINK LIKE VAGINA? MC PLATE,N,Y,Approved
REDTBOX,1,IM A GOLFER AND THE LADIES T OFF FROM THE RED TEE BOX! CLEVER ISNT IT?!,RED-GANG COLOR. BOX SLANG FOR VAGINA,N,Y,Approved
MDLNMFN,3,MIDDLE NAME FUN,FN-FUN OR FUCKEN?,N,Y,Approved
GO8BLUE,2,UNIVERSITY OF MICHIGAN FAN!,BLUE-GANG COLOR,Y,N,gob
GGBAE,3,MY NICKNAME,BAE IS DANISH FOR POOP,N,Y,Approved
4FN4ORD,3,"FOR FUN, FORD",FN-FUN OR FUCKEN?,N,Y,Approved
18E4P,7,IT'S A MILITARY MOS,18-HITLER RELATED,N,Y,Approved
OVR W8,2,I'M CALORICALLY CHALLENGED,NOT SAYING WHO?,Y,N,invalid characters
NOTASUB,1,"CAR MANUFACTURER'S SLOGAN IS ""THERE IS NO SUBSTITUTE""",SUBMISSIVE IN BDSM? NO PORSCHE ON RECORD,N,Y,Approved
MOPARAF,3,MOPAR IS A CHRYSLER TERM FOR DODGE PLYMOUTH AND CHRYSLER CARS AND AF IS MY GIRLFRIENDS INITALS,AF-AS FUCK,N,Y,Approved
KI2MYSS,3,CAMARO LICENSE PLATE,"""KSMYSS"" IS MARKED UNACCEPTABLE",N,Y,Approved
JEEPH8R,2,THE PLATE IS GOING ON 4 WHEEL DRIVE VEHICLE THAT DOESN'T LIKE JEEPS.,HATE?,N,Y,Approved
EAZY415,2,NICKNAME,415 BAY AREA CODE,N,Y,Approved
COOL 69,1,COOL 1969 LEMANS,NO 69 ON RECORD,Y,N,invalid characters
CAZANDO,2,OUT HUNTING.,HUNT IN SPANISH?,N,Y,Approved
BJENNIN,1,IT'S BEAUTIFUL/CRAZY,BJ-?,N,Y,Approved
BARCBOX,1,BARK = DOG HONDA ELEMENT SHAPE.,BOX-SLANG FOR VAGINA. NO HONDA,N,Y,Approved
AKABLUE,2,MY LAST NAME IS BLUESTONE AND PEOPLE CALL ME BLUE.,BLUE-GANG COLOR. WHAT THEY SAY IS TRUE.,N,Y,Approved
E13URG,2,NO MICRO,13-GANG,N,Y,Approved
88LDYM,2,NO MICRO,88-HITLER,N,Y,Approved
BA566RT,3,MY FIRST 3 CALL SIGN LETTERS AND RT FOR MY DODGE IS AN RT,BADASS 566 RT,N,Y,Approved
W14OMB,2,NO MICRO,14-HITLER,N,Y,Approved
2O6 4LIF,2,"SEATTLE, WA IS MY HOME CITY AND REPRESENT IT FOR LIFE",CA AREA CODE,Y,N,invalid length
69DONZI,1,NO MICRO,69,N,Y,Approved
GON2FYB,3,GRANDPA AND GRANDMAS INITIALS,GONE TO FUCK YOUR BITCH,N,Y,Approved
AR223,2,AUTO 223,AR 223 ASSAULT RIFLE,N,Y,Approved
FR8O5GT,2,"MY INITIALS,MONTH AND DAY OF MOMS BIRTHDAY AND GT IS THE TYPE OF CAR IT IS.",805 AREA CODE,N,Y,Approved
HELLWIG,2,FAMILY LAST NAME,HELL,Y,N,contains the restricted letter combinationHEL
SEAN 666,2,"SEAN IS MY NAME. 6 IS MY LUCKY NUMBER, SO 666 MEANS I'LL BE VERY LUCKY ON EVERYTHING",666 MARK OF THE BEAST,Y,N,invalid length
STASHHH,D,ITS MY NICK NAME BECAUSE I HAVE ALWAYS HAD A BIG MUSTACHE,STASH AS IN HIDE MY STASH WEED,N,Y,Approved
THTGLIF,2,THAT GREG LIFE,THAT G LIFE AS IN GANGSTER LIFE,N,Y,Approved
19SEXY9,1,,SEXY 9 AS IN 69,Y,N,contains the restricted letter combinationSEX
8BB88BB,2,NONE,PLATE LOOKS LIKE A LOOK ALIKE 888888,N,Y,Approved
KILRAIN,2,,KILL,N,Y,Approved
SGM8888,2,,88 HITLER REFERENCE,N,Y,Approved
4SMKNU,D,FOR SMOKING YOU. AS IN MY CAR IS FASTER THEN YOURS. Y DID I BUY THAT CAR? FOR SMOKING YOU..,"SMOKING IN YOU IS SLANG DOR KILLING WITH SOMEONE WITH A GUN, OR BEATIGN SOMEONE",N,Y,Approved
515OR8,2,OAKLAND RAIDERS FAN NICKNAME,CRAZY R8,Y,N,"must be for Purple Heart Vessels, Disabled Person, or Disabled Veteran"
KYLOS6,2,STAR WARS AND CAR MODEL,LOOKS LIKE KILO DRUG REFERENCE,Y,N,ky
NRT2FYB,1,IN ROUTE TO FLOAT YOUR BOAT,NOT SURE WHAT NRT MEANS BUT RESEMBLES CONFIGURATION FOR.. ON MY WAY TO FUCK YOUR BITCH.. (omw2fyb),N,Y,Approved
88 PORS,2,YEAR OF CAR,88 HITLER REFERENCE.. CUSTOMER DOES HAVE AN 88 PORS,Y,N,invalid characters
88REX,2,,88 HITLER REFERENCE,N,Y,Approved
KINGCAT,1,THE CAR IS A DODGE CHARGER HELLCAT.,CAT,Y,N,"[('fucking', 90.0, 56)]"
MAPX213,2,PLATE OF THE CAR I 1ST DROVE,213 LONG BEACH,N,Y,Approved
RED SWC,2,RED SPLIT WINDOW CORVETTE,RED,Y,N,invalid characters
RED TRK,2,RED TRUCK,RED,Y,N,invalid characters
UTRYUDI,2,SAY NO TO DRUGS,YOU TRY YOU DIE,N,Y,Approved
WESSON 1,2,NO MICRO,SMITH AND WESSON IS A GUN,Y,N,invalid length
8PEMB88,2,NO MICRO,88 HITLER REFERENCE,N,Y,Approved
$GUIDOO,2,NO MICRO,DEROGATORY TERM FOR ITALIANS,Y,N,invalid characters
BUZZ 25,D,BUZZ IS MY DOG. 25 IS MY LUCKY NUIMEBR,BUZZ AS IN HIGH,Y,N,invalid characters
DRLLIT1,D,WE ARE IN THE DIRECTIONAL DRILLING INDUSTRY AND DRILLING IS WHAT WE DO,LOOKS LIKE DR LIT AS IN WEED DOCTOR OR COULD BE DRILL IT,N,Y,Approved
BRRRRAP,2,SOUND A SINGLE CYLINDER MOTORCYLE MAKE. BRRRRAP,SOUNG OF A GUN,N,Y,Approved
WTRSH,2,WHY THE RUSH?,LOOKS LIKE WHITE TRASH,N,Y,Approved
BAIK DOW,1,,BACK DOOR.. CUSTOMER LAST NAME IS BAIK.. BACK DOOR COULD BE A SEXUAL REFERENCE,Y,N,invalid length
CALIPMW,1,CALIFORNIA POWER MOTIVATION,CALIFORNIA PUSSY MONEY WEED,N,Y,Approved
DXYNRMS,1,D)DIGITAL SINNER (XYNR) FROM MISSOURI (MS) UNDERGROUND MUSIC BAND,DIXIE ENORMOUS CHARACTER FROM AUSTIN POWERS,N,Y,Approved
JP QQ,1,MY INITIALS OF MY NAME AND LAST NAME JUAN PABLO QUEZADA QUEZADA,QQ LOOKS LIKE NIPPLES,Y,N,invalid characters
MPLG442,2,,AREA CODE SAN DIEGO,N,Y,Approved
MUERTA3,2,NICKNAME,MUERTA MEANS DEAD,N,Y,Approved
SIT LORD,2,STAR WARS FIG,COULD BE TAKEN OFFENSIVE TELLING THE LORD TO SIT. COULD BE A STAR WARS REFERENCE.,Y,N,invalid length
STPLGUN,2,SONG TITLE,STAPLE GUN,Y,N,gun
13 1LE,2,THE CAR THIS IS GOING ON IS A 2013 CAMARO WITH THE 1LE OPTION CODE.,13 HITLER REFERENCE,Y,N,invalid characters
5 O CALI,5,ENGINE SIZE AND STATE,5 O  AS IN COPS OR AS IN 5.0,Y,N,invalid length
5 OHH,5,"THE CAR IS A 5 LITER V8, 5OH STANDS FOR THAT",5 O AS IN COPS OR AS IN 5.0,Y,N,invalid characters
8888VTM,2,INITALS IN MY NAME,88 HITLER REFERENCE,N,Y,Approved
37BUD15,D,,BUD AS IN WEED,N,Y,Approved
AWZNTOP,1,SUCCESSFUL,ALWAYS ON TOP,N,Y,Approved
BLUE Z28,2,,BLUE,Y,N,invalid length
BLUKOLR,2,NAME OF COMPANY. BLUE KOLLAR MOTORSPORTS,BLUE COLOR,Y,N,uk
FLOR805,2,"FLOORING SUPPLIER IN THE 805 AREA CODE,",805 AREA  CODE SANTA BARBARA,N,Y,Approved
HELLA 90,2,,ANOTHER WORD MEANINS A LOT A WHOLE HELL OF A LOT,Y,N,invalid length
INUENDO,1,"INNUENDO SPELLED W/O ONE LETTER ""N"" SO IT WILL FIT ON THE PLATE.",TO MAKE SUBTLE REFERENCE TO. SOMETIMES USED IN THE SAYING SEXUAL INUENDO,N,Y,Approved
MAYFR13,2,,13 GANG REFERENCE,N,Y,Approved
NVW3N17,2,"IT SAYS ""LINEMAN"" UPSIDE DOWN. I AM A JOURNEYMAN ELECTRIC LINEMAN.",LINEMAN SPELLED UPSIDE DOWN AND BACKWARDS,Y,N,"[('genital', 90.0, 428)]"
PUNCHR2,2,PUNCHUR IS OUR LAST NAME,PUNCH HER TOO,N,Y,Approved
88 DGRS,7,1988 DODGERS,88-HITLER RELATED,Y,N,invalid characters
42OBS3O,D,INTIALS BASKETBALL NUMBERS GROWING UP 42 0 30,420 NATIONAL POT DAY,N,Y,Approved
14U2ENV,7,ONE FOR YOU TO ENVY,14-HITLER RELATED. NO 2014 CAR,N,Y,Approved
YAVAR14,7,NAME AND BIRTHDATE,14-HITLER RELATED. NO 2014 CAR,N,Y,Approved
YAMLT14,7,NAME AND BIRTHDATE,14-HITLER RELATED. NO 2014 CAR,N,Y,Approved
XNEGUSX,2,"THE TITEL HAS SUBSEQUENTLY BEEN USED TO TRANSLATE THE WORDS ""KING"" O ""EMPEROR""","NEGUS ETHIOPIA RULER BUT DOES IT SOUND LIKE ""NIGGER""",N,Y,Approved
WOODYZ,1,MY NICKNAME IS WOODY,WOODY CAN BE CLANG FOR ERECT PENIS,N,Y,Approved
SS22KLR,2,"MODEK CAR, FAVORITE NUMBER, NICKNAME",KILLER?,N,Y,Approved
M3AN346,7,MEAN E46 BODY STYLE OF BMW I WON ALSO AND ME HENCE THE WAY MEAN IS SPEALLED (M3AN).,"NO BMW M3 AND ""MEAN346"" IS OUT THERE N CURRENT?",N,Y,Approved
MRPENDU,2,FAMILY NAME,URBAN SAYS SIMPLETON. GOOGLE SHOWS A BUNCH OF STICK FIGURE HANG MEN THAT SAY FUCK BY THEM.,N,Y,Approved
H8TOWRK,2,I WORK AT A TEMP AGENCY AND THE PHRASE IS ON OF A KIND.,HATE TO WORK?,N,Y,Approved
HTDAB,2,THE ABREVIATION OF U2'S 11TH STUDIO ALBUM. HOW TO DISMANTLE AN ATOMIC BOMB MY CAR IS 2004 AND THE ALBUM CAME OUT IN 2015,HOW TO DISMANTLE A ATOMIC BOMB. ALSO DAB IS DRUGS.,N,Y,Approved
HELL4US,3,IT IS FOR OUR NEW CAR A DODGE HELLCAT.,HELL? NO HELLCAT REGISTERED YET,Y,N,contains the restricted letter combinationHEL
GIFSFTW,3,"""GIFS"" STANDS FOR ""GRAPHIC INTERCHANGE FORMAT"" WHICH IS A DIGITAL PICTURE TYPE. ""FTW"" STANDS FOR ""FOR THE WIN""",FTW-FUCK THE WORLD,N,Y,Approved
FYF,3,FACE YOUR FEARS,"URBAN SAYS ""FUCK YOUR FEELINGS"" BUT NOT MANY THUMBS UP 43 UP 13 DOWN",N,Y,Approved
EL69ERR,1,THE 1969 ER BRONCO,NO 69 CAR AND IT SOUNDS SEXUAL ALSO,N,Y,Approved
BXFXFXB,3,BROTHERS FOREVER FOREVER BROTHERS FOR A BROTHER THAT PASSED AWAY.,"URBAN SAYS ""BEST FRIENDS FOREVER BITCH"" 21 UP 17 DOWN",N,Y,Approved
BEMYBAE,2,"IN REMEMBRANCE OF ME AND MY GIRLFRIENDS ANNIVERSARY. MEANING ""BE MY BAE, BEFORE ANYONE ELSE>:",BAE POOP IN DANISH,N,Y,Approved
14U2NV,7,ONE FOR YOU TO ENVY,14-HITLER RELATED. NO 2014 CAR,N,Y,Approved
PILUNGO,1,NICKNAME,COULDN'T FIND ANYTHING ON WORD BUT GOOGLE IMAGES ON SOME OF THE PICTURES MANS PENIS,N,Y,Approved
PINCHEV,3,"PARTNER IN CRIME, COMPANION.",PINCHE IS FUCK IN SPANISH. WITH A V-VAGINA?,N,Y,Approved
MYPIGLT,5,A PIGLET,WE USUALLY PULL PIG UNLESS MC PLATE THIS IS NOT,Y,N,contains the restricted letter combinationPIG
IM12IN,1,THE SAYING STANDS FOR ME BEING A FAN OF FOOTBALL TEAM.,I'M 12 INCHES? PENIS?,N,Y,Approved
CUCHI,1,MI NOMBRE DE CHICA,COCHIE IS SLANG FOR VAGINA,N,Y,Approved
CUCA,1,MOTHERS NICK NAME,URBAN- VAGINA IN SPANISH SPEAKING IN CULTURE. 402 UP 200 DOWN,N,Y,Approved
CX4BJ,1,REMINDS ME OF MY DAD AND ALL HE STANDS FOR,BJ-BLOW JOB. CX4 IS A GUN,N,Y,Approved
GO NRA,2,GO NATIONAL RIFLE ASSOICATION,"NRA-NATIONAL RIFLE ASSOCIATION. ""NRA"" IS CURRENT",Y,N,invalid characters
FKREYE,3,FERNADO AND KATHLEEN REYES,FK-FUCK,N,Y,Approved
831RIDE,2,NO MICRO,831- CA AREA CODE,N,Y,Approved
BLUE8O5,2,NO MICRO,805- CA AREA CODE,N,Y,Approved
619TRKR,2,619 TRUCKER,619 CA AREA CODE,N,Y,Approved
2MYCV18,2,NO MICRO,18-HITLER,N,Y,Approved
BK65CAD,2,BARRIS KUSTOMS 1965 CADILLAC,BK BLOOD KILLER,N,Y,Approved
B8R8O,2,FAMILY LAST NAME,88 HITLER REFERNCE,N,Y,Approved
CCS8JWS,2,HUSBAND AND WIFE INITIALS AND YEAR OF MARRAIGE,8 LOOKS LIKE HATE OR ATE JWS LOOKS LIKE JEWS,N,Y,Approved
CRBFRKS,1,CHRIS ROBINSON BROTHERHOOD FREAKS,FREAKS,N,Y,Approved
DIRTY ST,1,BLACK CAR (FOCUS ST) WILL ALWAYS BE DIRTY,DIRTY COULD BE TAKEN AS A SEXUAL REFERENCE,Y,N,invalid length
EST68OG,2,"I WAS BORN IN 1968, THE REASON FOR EST 68, AND I EAT ONLY ORGANIC FOODS FOR THE OG.",OG ORIGINAL GANGSTER,N,Y,Approved
FCWIFEY,3,FIRE CAPTAIN WIFE,LOOKS LIKE FUCK WIFEY,N,Y,Approved
GTSJEFE,2,no micro,JEFE BOSS GANG REFERENCE,N,Y,Approved
HYRDKLR,2,HIRED KILLER FOR TERMITE BUSINESS.,HIRED KILLER,N,Y,Approved
IN2PAIN,1,I AM A BOARD CERTIFIED PAIN SPECIALIST FOR OVER 25 YEARS WITH TRAINING FROM UCLA AND HARVARD,IN TO PAIN COULD BE A TATTOO OR SEXUAL REFERENCE,N,Y,Approved
IOIOIO,,OUR INNITIALS AND ANNIVERSARY,LOOKS ALIKE ?,N,Y,Approved
LAGUNA C,2,REFERENCE TO LAGUNA BEACH,COULD BE LAGUNA CALIFORNIA OR LAGUNA CRIP,Y,N,invalid length
LOCO PRO,2,ITS THE NAME OF MY PET,LOCO AS IN CRAZY,Y,N,invalid length
LOKO 1O5,2,no micro,LOCO AS IN CRAZY,Y,N,invalid length
OGDUZIT,2,NICKNAME,ORIGINAL GANGSTER,N,Y,Approved
OSOPHAT,1,NICKNAME,OSO PHAT PRETTY HOT AND TEMPTING,N,Y,Approved
RECOIL1,2,WHAT HAPPENS WHEN A FIREARMS IS SHOT. RECOIL.,RECOIL GUN REFERENCE,N,Y,Approved
SEXEBST,1,NICKNAME,SEXY BEAST,Y,N,contains the restricted letter combinationSEX
SIMB628,2,SIMBA IS OUR DOGS NAME AND JUNE 28 IS OUR WEDDING ANNIVERSARY.,628 AREA CODE,N,Y,Approved
WHPLD14,2,no micro,14 GANG REFERENCE,N,Y,Approved
1L BRED,2,CLOTHING BRAND COMPANY NAME,LOOKS LIKE ILL BREED,Y,N,invalid characters
64 CHATA,2,FLAT NOSE,CHATA SLANG FOR SOMEONE WITH A FLAT NOSE OR BUTT,Y,N,invalid length
69BCHBS,2,no micro,BCH LOOKS LIKE BITCH BS LOOKS LIKE BULLSHIT,N,Y,Approved
911S G,2,THE MODEL OF MY CAR,G AS IN GANGSTER,Y,N,invalid characters
LUCIFR1,2,no micro,LUCIFER  THE DEVIL,Y,N,"[('lucifer', 85.71428571428572, 591)]"
H8DNTH8,2,HATE DON'T HATE,HATE DON’T HATE,N,Y,Approved
1MODEL3,2,ONE MODEL 3 CAR,13 GANG REFERENCE,N,Y,Approved
BC BLU,2,"BEYOND CONNECT-OUR COMPANY AND ""BLU"" OUR FIRST PROJECT FOR THE COMPANY",BLUE-GANG,Y,N,invalid characters
BONIN,1,LAST NAME,CUSTOMERS LAST NAME… BONIN,N,Y,Approved
GPHARMR,2,GENTLEMAN FARMER,G-GANGSTER FARMER,N,Y,Approved
JRGNA14,2,JUNIOR AND GINA 2014,14-HITLER,N,Y,Approved
SMPL DC5,1,SIMPLE ACURA RSX. DC5 IS CHASSIS CODE FOR ACURA RSX,SIMPLE DICKS?,Y,N,invalid length
